filename	event_labels
--5uHDNDKxs_30_40	Cat
--8hipdKBT4_10_20	Speech,Car
--BCZB_m2q0_30_40	Basketball_bounce
--ERHDSdxGQ_30_40	Speech,Dog
--GvdHSAsBs_20_30	Blender
--GvhCexa_E_30_40	Acoustic_guitar,Speech
--Jcz_RawUA_30_40	Lawn_mower,Chainsaw
--KCIeTv6PM_18_28	Cat
--LGvpWGBAI_30_40	Cheering
--OMDPXfO6o_9_19	Speech,Fire_alarm
--OqV2-d2E4_280_290	Speech,Car
--P4wuph3Mc_0_8	Speech,Car
--QvRbvnbUE_30_40	Speech,Car
--SeOZy3Yik_30_40	Speech,Car
--WKuD_46Fk_270_280	Accordion
--dPvya4fWk_30_40	Helicopter
--djLRDZsJI_40_50	Speech,Dog
--dr8rXrv8k_23_33	Speech,Cat
--e0Vu_ruTc_30_40	Speech,Car
--lDnkIKNEE_30_40	Cello
--nZlHfGCD0_18_28	Speech,Cat
--p-rk_HBuU_30_40	Motorcycle
--qsECcA_3U_220_230	Acoustic_guitar,Speech
--sIMPsphRI_10_20	Speech,Dog
--x2v4WepHw_170_180	Speech,Chainsaw
--zLzL0sq3M_30_40	Speech,Car
-05wY41ht1s_70_80	Helicopter
-06IiayZAEs_10_20	Speech,Cheering
-08bBkZ4vMk_40_50	Motorcycle
-0A1_JR5f34_16_26	Speech,Dog
-0BIyqJj9ZU_30_40	Baby_laughter
-0BScjoz3Z0_10_20	Speech,Dog
-0GNy8jFK_8_380_390	Motorcycle
-0IpBrwQDUA_30_40	Acoustic_guitar,Speech
-0THOrvsRuI_30_40	Chicken_rooster
-0USAEd2uzo_20_30	Chicken_rooster
-0UyIRbzhlw_26_36	Cello
-0Zb56jXKGI_30_40	Speech,Baby_cry_infant_cry
-0nSANmuPxU_10_20	Speech,Dog
-0ndOOPLvQM_420_430	Speech,Singing
-0pwOVQcj_U_0_10	Banjo
-0tayO6FNiU_120_130	Chicken_rooster
-0x3rJPqtPY_140_150	Cat
-1AFJlxFF5o_30_40	Cheering
-1Aq2vO90x0_100_110	Speech,Dog
-1DK8IjFNsI_30_40	Acoustic_guitar,Speech
-1IQfWwrPbc_240_250	Frying_(food)
-1KAjPp2-Vc_120_130	Speech,Dog
-1P74acOb3c_50_60	Banjo
-1QUpHlvDM4_0_10	Chicken_rooster
-1Ut5uVDsds_90_100	Acoustic_guitar,Speech
-1WK72M4xeg_220_230	Motorcycle
-1XUnm0C3nc_30_40	Speech,Dog
-1XfuJcdvfg_30_40	Motorcycle
-1aWxeEKXZw_30_40	Speech,Baby_cry_infant_cry
-1dsNJ7EUIo_30_40	Acoustic_guitar,Speech
-1fF5PUpEMs_30_40	Speech,Dog
-1gnqVuvMqg_30_40	Speech,Dog
-1jJc30Ui6E_570_580	Speech,Car
-1mhTVA9zqU_430_440	Speech,Helicopter
-1qyr-IzqKY_60_70	Accordion
-1wShjRIMEI_30_40	Acoustic_guitar,Speech
-1xXADXCgvM_110_120	Speech,Clapping
-2--Xzix2Vk_0_7	Cat
-2-sma5HfXo_10_20	Speech,Banjo
-23CeprtibU_30_40	Chainsaw
-25wOGVz2f8_30_40	Cello
-270llYVsL4_30_40	Speech,Car
-280mIOJVUg_30_40	Speech,Violin_fiddle
-2BR7sVLPCE_13_23	Speech,Cat
