category	train,val,test,total
Speech	4988,365,625,5978
Car	624,43,91,758
Cheering	528,46,86,660
Dog	761,59,110,930
Cat	192,21,36,249
Frying_(food)	343,18,47,408
Basketball_bounce	455,35,46,536
Fire_alarm	218,12,24,254
Chainsaw	299,18,27,344
Cello	602,33,89,724
Banjo	186,14,31,231
Singing	1172,84,181,1437
Chicken_rooster	437,34,64,535
Violin_fiddle	1457,73,159,1689
Vacuum_cleaner	495,41,58,594
Baby_laughter	146,12,20,178
Accordion	445,29,52,526
Lawn_mower	224,16,28,268
Motorcycle	411,22,60,493
Helicopter	587,35,68,690
Acoustic_guitar	503,51,104,658
Telephone_bell_ringing	99,8,11,118
Baby_cry_infant_cry	430,34,43,507
Blender	291,22,34,347
Clapping	164,45,85,294
