category	audio,visual
Speech	1462,308,1770
Car	109,140,249
Cheering	148,59,207
Dog	218,171,389
Cat	81,64,145
Frying_(food)	64,62,126
Basketball_bounce	99,124,223
Fire_alarm	44,32,76
Chainsaw	49,48,97
Cello	122,103,225
Banjo	42,36,78
Singing	338,238,576
Chicken_rooster	133,93,226
Violin_fiddle	248,202,450
Vacuum_cleaner	100,104,204
Baby_laughter	49,37,86
Accordion	85,63,148
Lawn_mower	50,45,95
Motorcycle	75,86,161
Helicopter	106,103,209
Acoustic_guitar	175,150,325
Telephone_bell_ringing	25,12,37
Baby_cry_infant_cry	96,72,168
Blender	62,57,119
Clapping	151,86,237
